review_id,source,post_date,rating,theme,theme_name,is_question,text,tokens,token_text,sentiment,sent_band,lda_topic,rating_num,mined_theme
R0535,小红书,2025-03-10,2.0,pricing,价格与收费争议,0,老用户说句公道话，按席位收费太贵，客服仓库就用个打单也要全价席位，老板已经在问我了,"['说句', '席位', '收费', '太贵', '客服', '仓库', '用个', '打单', '全价', '席位']",说句 席位 收费 太贵 客服 仓库 用个 打单 全价 席位,0.002,负面,价格与收费,2.0,价格与收费
R0078,小红书,2025-08-01,3.0,finance,对账与财务能力弱,0,报表够用但不灵活，想要的维度得找客服定制导出,"['报表', '够用', '灵活', '想要', '维度', '客服', '定制', '导出']",报表 够用 灵活 想要 维度 客服 定制 导出,0.26,负面,其他使用体验,3.0,客服与工单
R0625,官方社区,2025-06-21,5.0,stability,系统卡顿/大促不稳定,0,老用户说句公道话，Prime Day当天单量翻五倍系统也扛住了，稳定性可以 有没有同款情况的卖家服了,"['说句', 'Prime', 'Day', '单量', '五倍', '稳定性', '有没有']",说句 Prime Day 单量 五倍 稳定性 有没有,0.017,负面,其他使用体验,5.0,正向评价
R0062,小米应用商店,2025-06-02,1.0,stability,系统卡顿/大促不稳定,0,用了大半年，页面加载慢得像拨号上网，打开库存页要等十几秒，买家天天催发货，大家注意避坑😤,"['大半年', '页面', '加载', '慢得', '拨号上网', '打开', '库存', '十几秒', '天天', '发货']",大半年 页面 加载 慢得 拨号上网 打开 库存 十几秒 天天 发货,0.0,负面,其他使用体验,1.0,多平台库存/超卖
R0036,App Store,2025-05-14,1.0,inventory,多平台库存不同步/超卖,0,老用户说句公道话，安全库存设了不提醒，断货两天才发现，大家注意避坑,"['说句', '安全库存', '提醒', '断货']",说句 安全库存 提醒 断货,0.001,负面,客服与工单,1.0,多平台库存/超卖
R0321,小红书,2025-03-16,2.0,stability,系统卡顿/大促不稳定,0,旺季实测，同步任务动不动失败，得手动重跑，晚上都不敢下班,"['同步', '任务', '动不动', '失败', '重跑', '下班']",同步 任务 动不动 失败 重跑 下班,0.088,负面,多平台库存/超卖,2.0,未分类
R0148,官方社区,2025-03-22,1.0,order_sync,订单漏单/同步延迟,0,订单备注同步不过来，买家留言的赠品要求看不到，大促根本不敢放量 有没有同款情况的卖家,"['订单', '备注', '同步', '过来', '留言', '赠品', '要求', '看不到', '有没有']",订单 备注 同步 过来 留言 赠品 要求 看不到 有没有,0.009,负面,价格与收费,1.0,订单同步与处理
R0788,知乎,2025-04-29,1.0,stability,系统卡顿/大促不稳定,0,手机端更夸张，查个订单能闪退十几次,"['夸张', '查个', '订单', '闪退', '十几次']",夸张 查个 订单 闪退 十几次,0.018,负面,价格与收费,1.0,订单同步与处理
R0644,小红书,2025-05-28,1.0,order_sync,订单漏单/同步延迟,0,老用户说句公道话，自动审单规则经常误判，正常订单被拦成异常,"['说句', '自动审单', '误判', '正常', '订单', '拦成', '异常']",说句 自动审单 误判 正常 订单 拦成 异常,0.052,负面,价格与收费,1.0,订单同步与处理
R0228,小红书,2025-07-28,3.0,logistics,物流单号同步慢/回传失败,1,回传失败的订单有列表可以批量重试吗？,"['回传失败', '订单', '列表', '批量', '重试']",回传失败 订单 列表 批量 重试,0.049,负面,多平台库存/超卖,3.0,物流同步与回传
R1008,小米应用商店,2025-06-16,2.0,logistics,物流单号同步慢/回传失败,0,物流轨迹更新延迟好几个小时，买家问货到哪了我比他还懵。。。,"['物流轨迹', '更新', '延迟', '好几个', '问货到']",物流轨迹 更新 延迟 好几个 问货到,0.056,负面,其他使用体验,2.0,物流同步与回传
R0987,小红书,2025-05-27,1.0,logistics,物流单号同步慢/回传失败,0,老用户说句公道话，批量发货后单号回传成功率不到九成，每天都要人工核，买家天天催发货！！！,"['说句', '批量', '发货', '单号回传', '成功率', '不到', '九成', '人工', '天天', '发货']",说句 批量 发货 单号回传 成功率 不到 九成 人工 天天 发货,0.006,负面,其他使用体验,1.0,物流同步与回传
R0479,App Store,2025-04-29,5.0,stability,系统卡顿/大促不稳定,0,用了大半年，Prime Day当天单量翻五倍系统也扛住了，稳定性可以,"['大半年', 'Prime', 'Day', '单量', '五倍', '稳定性']",大半年 Prime Day 单量 五倍 稳定性,0.339,负面,其他使用体验,5.0,正向评价
R0084,小米应用商店,2025-03-12,1.0,finance,对账与财务能力弱,0,利润报表算不准，头程运费和广告费分摊逻辑看不懂！！！,"['利润报表', '不准', '头程', '运费', '广告费', '分摊', '逻辑', '看不懂']",利润报表 不准 头程 运费 广告费 分摊 逻辑 看不懂,0.003,负面,其他使用体验,1.0,财务对账
R0583,官方社区,2025-04-29,1.0,pricing,价格与收费争议,0,旺季实测，旺季临时加席位比平时贵一倍，趁火打劫吗,"['临时', '席位', '平时', '一倍', '趁火打劫']",临时 席位 平时 一倍 趁火打劫,0.316,负面,多平台库存/超卖,1.0,价格与收费
R0392,小红书,2025-06-23,3.0,inventory,多平台库存不同步/超卖,0,说实话，功能有但配置复杂，研究了两天才搞懂可售和可用的区别，老板已经在问我了,"['说实话', '复杂', '搞懂', '可售', '可用', '区别']",说实话 复杂 搞懂 可售 可用 区别,0.21,负面,其他使用体验,3.0,多平台库存/超卖
R0722,官方社区,2025-05-22,1.0,order_sync,订单漏单/同步延迟,0,黑五那几天订单堆积同步不过来，手动导单导到怀疑人生，老板已经在问我了服了,"['黑五', '几天', '订单', '堆积', '同步', '过来', '导单', '导到', '怀疑', '人生']",黑五 几天 订单 堆积 同步 过来 导单 导到 怀疑 人生,0.054,负面,价格与收费,1.0,订单同步与处理
R0013,小红书,2025-04-19,5.0,praise,正向评价,0,用了大半年，从选品刊登到发货对账全链路打通，数据不用倒来倒去 有没有同款情况的卖家,"['大半年', '选品', '刊登', '发货', '对账', '链路', '打通', '数据', '不用', '倒来倒去', '有没有']",大半年 选品 刊登 发货 对账 链路 打通 数据 不用 倒来倒去 有没有,0.006,负面,价格与收费,5.0,财务对账
R0186,小红书,2025-08-14,1.0,pricing,价格与收费争议,0,吐槽一下，报价不透明，销售一个价合同一个价，各种隐藏费用，买家天天催发货，大家注意避坑,"['报价', '透明', '销售', '合同', '各种', '隐藏', '费用', '天天', '发货']",报价 透明 销售 合同 各种 隐藏 费用 天天 发货,0.001,负面,其他使用体验,1.0,价格与收费
R0449,App Store,2025-05-19,1.0,pricing,价格与收费争议,0,基础版好多功能要额外加钱，模块分开收费套路深，大促根本不敢放量,"['基础', '版好', '多功能', '额外', '模块', '分开', '收费', '套路']",基础 版好 多功能 额外 模块 分开 收费 套路,0.554,中性,其他使用体验,1.0,价格与收费
R0130,知乎,2025-07-30,3.0,order_sync,订单漏单/同步延迟,1,异常订单被拦截后怎么批量处理？,"['异常', '订单', '拦截', '批量', '处理']",异常 订单 拦截 批量 处理,0.55,中性,价格与收费,3.0,订单同步与处理
R0455,小红书,2025-06-30,3.0,order_sync,订单漏单/同步延迟,0,老用户说句公道话，同步基本及时，个别订单要手动拉一下，整体可以接受，有用点个赞,"['说句', '同步', '基本', '及时', '个别', '订单', '接受', '点个']",说句 同步 基本 及时 个别 订单 接受 点个,0.861,正面,其他使用体验,3.0,订单同步与处理
R0055,App Store,2025-04-26,1.0,logistics,物流单号同步慢/回传失败,0,求助，大促期间物流回传直接排队，早上发的货下午才显示 有没有同款情况的卖家,"['期间', '物流', '回传', '排队', '显示', '有没有']",期间 物流 回传 排队 显示 有没有,0.0,负面,其他使用体验,1.0,物流同步与回传
R0763,App Store,2025-06-08,4.0,inventory,多平台库存不同步/超卖,1,采购在途数量怎么统计？为什么和供应商发货数对不上？,"['采购', '数量', '统计', '供应商', '发货', '对不上']",采购 数量 统计 供应商 发货 对不上,0.126,负面,其他使用体验,4.0,多平台库存/超卖
R0118,小红书,2025-07-11,2.0,inventory,多平台库存不同步/超卖,0,库存同步延迟太离谱，仓库出完货前台还挂着，大家注意避坑,"['库存同步', '延迟', '离谱', '仓库', '完货', '前台']",库存同步 延迟 离谱 仓库 完货 前台,0.0,负面,价格与收费,2.0,多平台库存/超卖
R0232,官方社区,2025-07-10,3.0,onboarding,上手成本高/引导不足,0,吐槽一下，功能全但也复杂，建议找人带一下，自己摸索成本高 有没有同款情况的卖家,"['复杂', '找人带', '摸索', '成本', '有没有']",复杂 找人带 摸索 成本 有没有,0.123,负面,其他使用体验,3.0,上手与培训
R0519,小红书,2025-07-10,5.0,praise,正向评价,0,老用户说句公道话，打单发货一条龙，仓库效率提升明显，老板说今年再加席位服了,"['说句', '打单', '发货', '一条龙', '仓库', '效率', '提升', '明显', '今年', '席位']",说句 打单 发货 一条龙 仓库 效率 提升 明显 今年 席位,0.015,负面,其他使用体验,5.0,物流同步与回传
R0341,App Store,2025-06-14,2.0,onboarding,上手成本高/引导不足,0,老用户说句公道话，帮助中心像产品说明书，没有实操案例看完还是不会，半夜还在手动补 有没有同款情况的卖家,"['说句', '帮助', '中心', '产品', '说明书', '没有', '实操', '案例', '不会', '有没有']",说句 帮助 中心 产品 说明书 没有 实操 案例 不会 有没有,0.015,负面,客服与工单,2.0,上手与培训
R0608,知乎,2025-07-02,3.0,support,客服响应慢/处理周期长,0,旺季实测，客服态度还行就是专业度参差，复杂问题得等他们问技术,"['客服', '态度', '参差', '复杂', '技术']",客服 态度 参差 复杂 技术,0.07,负面,其他使用体验,3.0,客服与工单
R0419,App Store,2025-03-22,5.0,praise,正向评价,0,吐槽一下，手机端查订单看数据方便，出差也能盯店铺，有用点个赞,"['端查', '订单', '数据', '方便', '出差', '点个']",端查 订单 数据 方便 出差 点个,0.378,负面,价格与收费,5.0,订单同步与处理
R0654,官方社区,2025-05-05,5.0,support,客服响应慢/处理周期长,0,说实话，专属客户成功经理很负责，大促前主动提醒备货压测，好评，有用点个赞,"['说实话', '专属', '客户', '经理', '负责', '主动', '提醒', '备货', '压测', '好评', '点个']",说实话 专属 客户 经理 负责 主动 提醒 备货 压测 好评 点个,0.394,负面,其他使用体验,5.0,正向评价
R0014,知乎,2025-03-29,1.0,order_sync,订单漏单/同步延迟,0,旺季实测，取消的订单不同步，仓库照发，货发了钱也退了，大促根本不敢放量 有没有同款情况的卖家,"['取消', '订单', '同步', '仓库', '照发', '货发', '有没有']",取消 订单 同步 仓库 照发 货发 有没有,0.0,负面,价格与收费,1.0,订单同步与处理
R0666,小红书,2025-08-16,1.0,finance,对账与财务能力弱,0,利润报表算不准，头程运费和广告费分摊逻辑看不懂，仓库白忙一场，老板已经在问我了😭,"['利润报表', '不准', '头程', '运费', '广告费', '分摊', '逻辑', '看不懂', '仓库', '白忙', '一场']",利润报表 不准 头程 运费 广告费 分摊 逻辑 看不懂 仓库 白忙 一场,0.002,负面,其他使用体验,1.0,财务对账
R0047,知乎,2025-07-21,5.0,praise,正向评价,0,免费版就够用，小卖家福音，客服回复也及时，五星，有用点个赞,"['免费版', '够用', '福音', '客服', '回复', '及时', '五星', '点个']",免费版 够用 福音 客服 回复 及时 五星 点个,0.7,正面,其他使用体验,5.0,客服与工单
R0431,小红书,2025-03-04,1.0,order_sync,订单漏单/同步延迟,0,取消的订单不同步，仓库照发，货发了钱也退了,"['取消', '订单', '同步', '仓库', '照发', '货发']",取消 订单 同步 仓库 照发 货发,0.001,负面,价格与收费,1.0,订单同步与处理
R0709,小米应用商店,2025-06-05,1.0,pricing,价格与收费争议,0,老用户说句公道话，免费试用到期直接扣费，事先没有明显提醒，半夜还在手动补,"['说句', '免费', '试用', '到期', '扣费', '事先', '没有', '明显', '提醒']",说句 免费 试用 到期 扣费 事先 没有 明显 提醒,0.003,负面,客服与工单,1.0,未分类
R0450,知乎,2025-03-22,3.0,onboarding,上手成本高/引导不足,1,速卖通授权令牌过期了怎么重新授权？订单会漏吗？无语了,"['速卖通', '授权', '令牌', '过期', '重新', '授权', '订单', '会漏', '无语']",速卖通 授权 令牌 过期 重新 授权 订单 会漏 无语,0.002,负面,其他使用体验,3.0,订单同步与处理
R0171,App Store,2025-03-15,5.0,praise,正向评价,0,打单发货一条龙，仓库效率提升明显，老板说今年再加席位，有用点个赞😭,"['打单', '发货', '一条龙', '仓库', '效率', '提升', '明显', '今年', '席位', '点个']",打单 发货 一条龙 仓库 效率 提升 明显 今年 席位 点个,0.5,中性,其他使用体验,5.0,物流同步与回传
R0441,官方社区,2025-03-04,2.0,pricing,价格与收费争议,0,求助，旺季临时加席位比平时贵一倍，趁火打劫吗，有用点个赞,"['临时', '席位', '平时', '一倍', '趁火打劫', '点个']",临时 席位 平时 一倍 趁火打劫 点个,0.237,负面,多平台库存/超卖,2.0,价格与收费
R0712,华为应用市场,2025-06-20,1.0,support,客服响应慢/处理周期长,0,老用户说句公道话，报错了找客服来回踢皮球，半天没解决！！！,"['说句', '报错', '客服', '来回', '踢皮球', '解决']",说句 报错 客服 来回 踢皮球 解决,0.0,负面,其他使用体验,1.0,客服与工单
R0096,App Store,2025-08-23,3.0,inventory,多平台库存不同步/超卖,1,两个店铺共用一个仓库，库存怎么设置才能同步扣减？🤦,"['两个', '共用', '仓库', '库存', '设置', '才能', '同步', '扣减']",两个 共用 仓库 库存 设置 才能 同步 扣减,0.047,负面,其他使用体验,3.0,多平台库存/超卖
R1005,App Store,2025-08-24,5.0,praise,正向评价,0,多店铺多平台统一管理，TikTok Shop扩店一点不慌，同意楼上,"['统一', '管理', 'TikTok', 'Shop', '扩店', '一点', '同意', '楼上']",统一 管理 TikTok Shop 扩店 一点 同意 楼上,0.145,负面,物流同步与回传,5.0,正向评价
R0487,官方社区,2025-07-04,5.0,support,客服响应慢/处理周期长,0,旺季实测，专属客户成功经理很负责，大促前主动提醒备货压测，好评,"['专属', '客户', '经理', '负责', '主动', '提醒', '备货', '压测', '好评']",专属 客户 经理 负责 主动 提醒 备货 压测 好评,0.245,负面,其他使用体验,5.0,正向评价
R0297,App Store,2025-08-22,4.0,inventory,多平台库存不同步/超卖,0,用了大半年，库存同步基本准，但大促那几分钟会延迟，建议留点缓冲，有用点个赞,"['大半年', '库存同步', '基本', '几分钟', '延迟', '留点', '缓冲', '点个']",大半年 库存同步 基本 几分钟 延迟 留点 缓冲 点个,0.918,正面,其他使用体验,4.0,多平台库存/超卖
R0725,华为应用市场,2025-08-10,5.0,logistics,物流单号同步慢/回传失败,0,云帆对接的物流渠道是真的全，燕文一键下单打单很顺,"['云帆', '对接', '物流', '渠道', '燕文', '一键', '单打']",云帆 对接 物流 渠道 燕文 一键 单打,0.754,正面,其他使用体验,5.0,物流同步与回传
R0448,小红书,2025-03-01,5.0,praise,正向评价,0,真的服了，系统稳定功能扎实，换了三家ERP最后在云帆安家,"['稳定', '扎实', '三家', 'ERP', '最后', '云帆', '安家']",稳定 扎实 三家 ERP 最后 云帆 安家,0.957,正面,客服与工单,5.0,正向评价
R0106,官方社区,2025-08-02,1.0,onboarding,上手成本高/引导不足,0,上手太难了，功能入口藏得深，新运营培训一周还是懵，大家注意避坑,"['上手', '太难', '入口', '藏得', '运营', '培训', '一周']",上手 太难 入口 藏得 运营 培训 一周,0.836,正面,客服与工单,1.0,上手与培训
R0849,小米应用商店,2025-08-31,3.0,finance,对账与财务能力弱,1,Wish平台扣费怎么和订单逐单对账？求操作教程,"['Wish', '扣费', '订单', '逐单', '对账', '操作', '教程']",Wish 扣费 订单 逐单 对账 操作 教程,0.096,负面,多平台库存/超卖,3.0,订单同步与处理
R0305,知乎,2025-07-18,5.0,support,客服响应慢/处理周期长,0,客观说一句，技术支持凌晨还在帮我处理面单问题，确实被感动到，大家注意避坑,"['技术支持', '处理', '面单', '感动']",技术支持 处理 面单 感动,0.221,负面,物流同步与回传,5.0,物流同步与回传
R0791,华为应用市场,2025-03-09,2.0,support,客服响应慢/处理周期长,0,小卖家一枚，续费之前天天嘘寒问暖，出问题人都找不到，有用点个赞,"['一枚', '续费', '天天', '嘘寒问暖', '不到', '点个']",一枚 续费 天天 嘘寒问暖 不到 点个,0.96,正面,其他使用体验,2.0,未分类
R0767,官方社区,2025-06-14,1.0,pricing,价格与收费争议,0,求助，旺季临时加席位比平时贵一倍，趁火打劫吗，老板已经在问我了,"['临时', '席位', '平时', '一倍', '趁火打劫']",临时 席位 平时 一倍 趁火打劫,0.008,负面,多平台库存/超卖,1.0,价格与收费
R0158,小米应用商店,2025-08-19,3.0,stability,系统卡顿/大促不稳定,1,同步任务失败后在哪里手动重跑？找不到入口,"['同步', '任务', '失败', '哪里', '重跑', '不到', '入口']",同步 任务 失败 哪里 重跑 不到 入口,0.08,负面,多平台库存/超卖,3.0,系统稳定性
R0578,App Store,2025-07-19,2.0,order_sync,订单漏单/同步延迟,0,旺季实测，合单拆单逻辑乱，同一买家两单合了之后库存扣错，买家天天催发货 有没有同款情况的卖家,"['合单', '拆单', '逻辑', '同一', '单合', '库存', '扣错', '天天', '发货', '有没有']",合单 拆单 逻辑 同一 单合 库存 扣错 天天 发货 有没有,0.0,负面,其他使用体验,2.0,订单同步与处理
R0299,华为应用市场,2025-03-10,5.0,stability,系统卡顿/大促不稳定,0,老用户说句公道话，Prime Day当天单量翻五倍系统也扛住了，稳定性可以,"['说句', 'Prime', 'Day', '单量', '五倍', '稳定性']",说句 Prime Day 单量 五倍 稳定性,0.193,负面,其他使用体验,5.0,正向评价
R0836,小米应用商店,2025-07-20,2.0,inventory,多平台库存不同步/超卖,0,真的服了，盘点功能难用，盘完差异一大把也不知道哪笔单扣错,"['盘点', '差异', '一大', '哪笔', '单扣']",盘点 差异 一大 哪笔 单扣,0.258,负面,其他使用体验,2.0,多平台库存/超卖
R0246,华为应用市场,2025-04-25,2.0,onboarding,上手成本高/引导不足,0,用了大半年，帮助中心像产品说明书，没有实操案例看完还是不会，光这个每月损失不少钱,"['大半年', '帮助', '中心', '产品', '说明书', '没有', '实操', '案例', '不会']",大半年 帮助 中心 产品 说明书 没有 实操 案例 不会,0.045,负面,客服与工单,2.0,上手与培训
R0411,App Store,2025-08-13,3.0,inventory,多平台库存不同步/超卖,0,真的服了，库存同步基本准，但大促那几分钟会延迟，建议留点缓冲！！！,"['库存同步', '基本', '几分钟', '延迟', '留点', '缓冲']",库存同步 基本 几分钟 延迟 留点 缓冲,0.12,负面,其他使用体验,3.0,多平台库存/超卖
R0064,官方社区,2025-08-29,3.0,inventory,多平台库存不同步/超卖,1,盘点单审核后差异会自动调整库存吗？,"['盘点', '审核', '差异', '调整', '库存']",盘点 审核 差异 调整 库存,0.006,负面,其他使用体验,3.0,多平台库存/超卖
R0230,官方社区,2025-07-21,1.0,listing,刊登与商品管理问题,0,小卖家一枚，小语种翻译机翻味太重，还得自己重新润色，退款退到麻木,"['一枚', '语种', '翻译机', '翻味', '太重', '重新', '润色', '退款', '麻木']",一枚 语种 翻译机 翻味 太重 重新 润色 退款 麻木,0.519,中性,其他使用体验,1.0,刊登与商品
R0632,小红书,2025-04-28,1.0,support,客服响应慢/处理周期长,0,客观说一句，客服只会让清缓存重启，明显是bug也不承认，仓库白忙一场，有用点个赞,"['客服', '只会', '缓存', '重启', '明显', 'bug', '承认', '仓库', '白忙', '一场', '点个']",客服 只会 缓存 重启 明显 bug 承认 仓库 白忙 一场 点个,0.013,负面,其他使用体验,1.0,系统稳定性
R0163,小红书,2025-06-03,3.0,inventory,多平台库存不同步/超卖,1,库存同步频率在哪里调？能不能按店铺分别设置？😤,"['库存同步', '频率', '哪里', '不能', '分别', '设置']",库存同步 频率 哪里 不能 分别 设置,0.07,负面,其他使用体验,3.0,多平台库存/超卖
