customer_id,industry,company_size,plan,seats,annual_amount,signup_date,contract_end,account_manager,archetype,renewal_status,health,tier,logins,active_accounts,seats_m,tickets,avg_resolve_hours,csat,active_modules
C0027,家居园艺,中型卖家,专业版,56,12320,2022-08-10,2025-04-28,黄炬,login_cliff,未续约,14.2,高风险,0,0,56,0,0.0,,0
C0028,家居园艺,小微卖家,基础版,18,2160,2024-01-28,2025-07-28,林一,gradual_decline,未续约,26.8,高风险,0,1,18,0,0.0,,0
C0029,服饰鞋包,小微卖家,基础版,9,1080,2022-03-01,2025-07-20,林一,healthy,已续约,82.2,健康,72,7,9,0,0.0,,9
C0030,母婴玩具,大卖/品牌方,基础版,130,15600,2022-05-19,2025-04-15,苏芮,healthy,已续约,70.0,关注,1064,92,130,15,19.5,4.4,8
C0031,服饰鞋包,大卖/品牌方,旗舰版,71,25560,2023-02-09,2025-07-28,陈璐,healthy,已续约,71.0,关注,602,51,71,7,10.7,4.5,9
C0032,美妆个护,中型卖家,基础版,57,6840,2023-07-31,2025-05-28,苏芮,healthy,已续约,73.1,关注,400,42,57,5,7.3,4.8,9
C0033,家居园艺,小微卖家,基础版,8,960,2023-01-11,2025-08-20,黄炬,healthy,已续约,81.2,健康,62,6,8,2,6.4,4.8,9
C0034,家居园艺,中型卖家,旗舰版,46,16560,2022-05-08,2025-06-28,黄炬,healthy,已续约,80.4,健康,294,32,46,4,17.4,4.8,9
C0035,3C电子,中型卖家,基础版,35,4200,2023-03-08,2025-05-20,林一,healthy,已续约,80.6,健康,337,25,35,4,5.8,4.1,9
C0036,3C电子,大卖/品牌方,基础版,123,14760,2022-07-29,2025-04-28,林一,gradual_decline,未续约,14.2,高风险,0,0,123,0,0.0,,0
C0037,美妆个护,中型卖家,基础版,39,4680,2022-08-30,2025-04-20,黄炬,healthy,已续约,69.9,关注,257,28,39,6,5.2,4.3,9
C0038,美妆个护,中型卖家,专业版,51,11220,2023-11-18,2025-06-28,苏芮,healthy,已续约,71.9,关注,386,41,51,6,9.4,4.4,9
C0039,家居园艺,小微卖家,专业版,10,2200,2022-10-25,2025-05-28,苏芮,healthy,已续约,83.0,健康,107,8,10,0,0.0,,9
C0040,母婴玩具,中型卖家,旗舰版,32,11520,2023-06-13,2025-03-20,陈璐,gradual_decline,未续约,23.7,高风险,0,0,32,0,0.0,,0
C0041,家居园艺,中型卖家,基础版,33,3960,2022-01-20,2025-05-20,黄炬,sudden_churn,未续约,14.2,高风险,0,0,33,0,0.0,,0
C0042,美妆个护,小微卖家,基础版,9,1080,2022-06-22,2025-04-28,苏芮,login_cliff,未续约,23.7,高风险,0,0,9,0,0.0,,0
C0043,家居园艺,小微卖家,专业版,18,3960,2023-05-25,2025-03-28,陈璐,healthy,已续约,79.6,关注,148,13,18,1,17.1,4.5,9
C0044,户外运动,中型卖家,旗舰版,52,18720,2023-07-13,2025-08-28,黄炬,healthy,已续约,82.3,健康,310,40,52,3,14.5,,9
C0045,汽摩配件,中型卖家,旗舰版,50,18000,2023-07-16,2025-07-28,黄炬,healthy,已续约,72.3,关注,436,40,50,9,12.1,4.8,8
C0046,3C电子,中型卖家,基础版,45,5400,2023-05-13,2025-08-15,周衡,sudden_churn,已续约,11.7,高风险,1,1,45,6,40.3,1.7,1
C0047,工业品,小微卖家,专业版,19,4180,2024-05-23,2025-07-15,陈璐,ticket_storm,未续约,18.6,高风险,0,1,19,0,0.0,,0
C0048,3C电子,小微卖家,专业版,19,4180,2023-03-17,2025-08-20,黄炬,recovered,已续约,74.8,关注,239,16,19,6,21.2,4.9,8
C0049,工业品,小微卖家,专业版,11,2420,2023-08-08,2025-03-28,周衡,login_cliff,未续约,23.7,高风险,0,0,11,0,0.0,,0
C0050,母婴玩具,大卖/品牌方,专业版,83,18260,2022-02-03,2025-03-28,黄炬,healthy,已续约,70.1,关注,445,63,83,12,7.4,3.8,9
C0051,3C电子,中型卖家,专业版,21,4620,2023-08-15,2025-07-28,黄炬,recovered,已续约,83.6,健康,179,17,21,1,9.2,4.3,8
C0052,户外运动,中型卖家,基础版,56,6720,2022-07-31,2025-03-15,陈璐,gradual_decline,未续约,23.7,高风险,0,0,56,0,0.0,,0
C0053,3C电子,中型卖家,专业版,54,11880,2023-04-23,2025-03-15,周衡,healthy,已续约,72.7,关注,527,42,54,5,5.8,4.4,9
C0054,汽摩配件,中型卖家,基础版,36,4320,2024-02-07,2025-06-28,苏芮,healthy,已续约,78.8,关注,369,24,36,8,6.2,4.3,9
C0055,服饰鞋包,中型卖家,基础版,54,6480,2022-04-14,2025-04-28,黄炬,recovered,已续约,74.1,关注,632,44,54,4,9.1,4.5,8
C0056,3C电子,小微卖家,基础版,11,1320,2023-10-08,2025-05-20,周衡,healthy,已续约,81.0,健康,119,8,11,0,0.0,,9
C0057,服饰鞋包,小微卖家,基础版,19,2280,2022-04-18,2025-06-28,黄炬,healthy,未续约,26.6,高风险,0,0,19,0,0.0,,0
C0058,户外运动,中型卖家,基础版,39,4680,2024-04-03,2025-04-28,陈璐,healthy,已续约,69.5,关注,367,28,39,12,32.2,4.8,9
C0059,服饰鞋包,小微卖家,基础版,7,840,2023-05-15,2025-03-28,周衡,healthy,已续约,81.7,健康,47,5,7,1,19.9,4.3,9
C0060,美妆个护,小微卖家,基础版,18,2160,2024-05-13,2025-08-15,周衡,healthy,已续约,83.5,健康,152,15,18,2,9.4,4.7,9
C0061,服饰鞋包,大卖/品牌方,基础版,114,13680,2023-05-20,2025-04-20,黄炬,healthy,已续约,70.0,关注,1132,78,114,17,6.0,4.9,9
C0062,家居园艺,中型卖家,专业版,44,9680,2023-08-12,2025-03-28,黄炬,healthy,已续约,73.3,关注,246,35,44,5,14.2,4.4,9
C0063,服饰鞋包,小微卖家,旗舰版,8,2880,2022-01-02,2025-04-28,周衡,healthy,已续约,81.4,健康,68,6,8,0,0.0,,8
C0064,户外运动,中型卖家,基础版,54,6480,2023-03-05,2025-08-20,周衡,healthy,已续约,75.6,关注,567,44,54,9,5.7,4.3,9
C0065,母婴玩具,大卖/品牌方,专业版,127,27940,2023-02-28,2025-04-28,周衡,healthy,已续约,68.6,关注,923,91,127,7,5.7,4.6,9
C0066,3C电子,中型卖家,旗舰版,51,18360,2023-04-07,2025-08-28,林一,healthy,已续约,71.4,关注,556,40,51,1,5.3,4.5,9
C0067,工业品,小微卖家,基础版,5,600,2022-02-16,2025-04-28,林一,healthy,已续约,80.7,健康,35,4,5,0,0.0,,9
C0068,家居园艺,中型卖家,基础版,21,2520,2022-02-15,2025-08-28,苏芮,healthy,已续约,80.0,健康,169,16,21,1,5.4,4.1,9
C0069,3C电子,中型卖家,基础版,35,4200,2024-05-29,2025-04-28,陈璐,sudden_churn,未续约,14.2,高风险,0,0,35,0,0.0,,0
C0070,服饰鞋包,小微卖家,基础版,11,1320,2024-02-16,2025-03-28,林一,gradual_decline,未续约,23.7,高风险,0,0,11,0,0.0,,0
C0071,家居园艺,小微卖家,基础版,12,1440,2023-05-12,2025-07-28,黄炬,healthy,已续约,80.8,健康,71,9,12,1,25.4,4.5,9
C0072,服饰鞋包,小微卖家,基础版,18,2160,2023-03-08,2025-08-15,陈璐,healthy,已续约,78.9,关注,100,13,18,4,23.3,4.5,9
C0073,服饰鞋包,大卖/品牌方,基础版,82,9840,2023-03-22,2025-05-20,苏芮,healthy,已续约,68.1,关注,508,62,82,7,12.8,4.2,8
C0074,3C电子,小微卖家,基础版,5,600,2024-04-06,2025-03-28,黄炬,ticket_storm,已续约,57.9,高风险,12,2,5,3,56.1,2.5,8
C0075,3C电子,小微卖家,专业版,7,1540,2023-03-04,2025-04-28,周衡,healthy,已续约,82.6,健康,40,5,7,1,8.9,4.4,9
C0076,美妆个护,中型卖家,基础版,31,3720,2024-02-08,2025-06-15,周衡,healthy,未续约,25.4,高风险,0,0,31,0,0.0,,0
C0077,户外运动,大卖/品牌方,基础版,76,9120,2022-08-12,2025-08-28,周衡,gradual_decline,未续约,31.6,高风险,101,22,76,16,5.1,3.3,2
C0078,美妆个护,大卖/品牌方,基础版,133,15960,2024-01-02,2025-03-28,周衡,healthy,未续约,23.7,高风险,0,0,133,0,0.0,,0
C0079,美妆个护,小微卖家,基础版,16,1920,2023-07-27,2025-04-20,林一,ticket_storm,已续约,52.8,高风险,78,8,16,7,21.0,2.3,8
C0080,3C电子,小微卖家,基础版,15,1800,2022-05-29,2025-06-15,黄炬,healthy,已续约,78.3,关注,118,11,15,3,18.1,4.5,9
C0081,户外运动,小微卖家,旗舰版,15,5400,2022-05-14,2025-06-28,林一,healthy,已续约,81.0,健康,94,11,15,0,0.0,,9
C0082,3C电子,中型卖家,基础版,51,6120,2023-04-02,2025-03-20,陈璐,gradual_decline,已续约,32.5,高风险,99,15,51,14,8.5,3.1,2
C0083,3C电子,大卖/品牌方,专业版,60,13200,2022-12-16,2025-03-28,黄炬,healthy,已续约,69.9,关注,371,42,60,8,11.6,4.0,9
C0084,汽摩配件,中型卖家,专业版,27,5940,2022-09-03,2025-07-28,周衡,healthy,已续约,80.8,健康,260,19,27,5,22.9,4.9,9
C0085,服饰鞋包,中型卖家,专业版,43,9460,2022-06-20,2025-03-28,周衡,sudden_churn,未续约,23.7,高风险,0,0,43,0,0.0,,0
C0086,服饰鞋包,大卖/品牌方,基础版,121,14520,2023-07-04,2025-04-28,周衡,healthy,已续约,68.1,关注,810,90,121,27,12.7,,9
C0087,美妆个护,中型卖家,专业版,35,7700,2022-08-29,2025-07-15,黄炬,healthy,已续约,84.7,健康,328,28,35,6,17.1,4.7,9
C0088,服饰鞋包,中型卖家,基础版,21,2520,2023-12-18,2025-05-28,周衡,healthy,已续约,77.9,关注,113,15,21,5,12.1,4.3,9
C0089,3C电子,大卖/品牌方,基础版,100,12000,2022-05-25,2025-07-28,林一,healthy,已续约,75.9,关注,969,80,100,17,13.2,4.7,9
C0090,工业品,小微卖家,基础版,18,2160,2024-02-13,2025-08-20,陈璐,healthy,已续约,78.1,关注,143,14,18,1,6.4,4.5,8
C0091,家居园艺,中型卖家,旗舰版,28,10080,2023-08-05,2025-05-28,周衡,login_cliff,已续约,26.2,高风险,8,1,28,7,21.5,2.8,3
C0092,户外运动,中型卖家,专业版,57,12540,2023-05-28,2025-05-28,苏芮,login_cliff,未续约,14.2,高风险,0,0,57,0,0.0,,0
C0093,母婴玩具,中型卖家,基础版,56,6720,2022-01-03,2025-04-28,苏芮,healthy,已续约,75.1,关注,434,43,56,11,15.7,,9
C0094,3C电子,大卖/品牌方,基础版,140,16800,2023-10-10,2025-08-20,苏芮,healthy,已续约,74.0,关注,1020,106,140,19,10.6,3.9,9
C0095,服饰鞋包,中型卖家,专业版,35,7700,2022-12-13,2025-05-28,苏芮,healthy,已续约,80.0,健康,176,25,35,7,10.0,,9
C0096,汽摩配件,中型卖家,基础版,33,3960,2022-12-06,2025-05-28,苏芮,healthy,已续约,72.0,关注,303,23,33,5,8.9,4.5,9
C0097,3C电子,中型卖家,基础版,25,3000,2022-01-22,2025-08-15,陈璐,healthy,已续约,84.2,健康,208,21,25,5,17.1,4.6,9
C0098,3C电子,中型卖家,旗舰版,33,11880,2022-09-08,2025-05-28,黄炬,healthy,已续约,71.9,关注,287,24,33,3,10.8,4.9,9
C0099,家居园艺,中型卖家,基础版,27,3240,2022-04-26,2025-03-28,周衡,healthy,已续约,83.4,健康,258,24,27,1,10.8,4.4,8
C0100,工业品,中型卖家,专业版,55,12100,2022-04-10,2025-04-28,林一,healthy,已续约,70.8,关注,660,46,55,9,11.9,4.0,8
C0101,户外运动,大卖/品牌方,旗舰版,89,32040,2022-04-05,2025-08-15,黄炬,sudden_churn,未续约,11.9,高风险,1,2,89,19,8.8,2.2,1
C0102,工业品,小微卖家,基础版,19,2280,2022-10-02,2025-04-28,周衡,healthy,已续约,82.1,健康,171,16,19,2,9.7,,9
C0103,母婴玩具,中型卖家,专业版,23,5060,2023-04-14,2025-03-28,陈璐,healthy,已续约,81.7,健康,271,17,23,2,7.7,,9
C0104,3C电子,大卖/品牌方,专业版,112,24640,2023-10-24,2025-07-28,黄炬,login_cliff,未续约,13.0,高风险,0,3,112,0,0.0,,0
C0105,服饰鞋包,中型卖家,专业版,34,7480,2022-02-08,2025-04-15,黄炬,healthy,已续约,76.4,关注,217,23,34,3,8.9,4.2,9
C0106,3C电子,大卖/品牌方,基础版,98,11760,2022-08-27,2025-04-20,苏芮,healthy,已续约,72.0,关注,715,73,98,9,5.6,,9
C0107,服饰鞋包,小微卖家,基础版,7,840,2024-03-02,2025-07-28,黄炬,recovered,已续约,82.5,健康,49,6,7,1,11.2,4.8,7
C0108,母婴玩具,小微卖家,专业版,15,3300,2022-08-12,2025-04-28,陈璐,healthy,已续约,85.0,健康,147,12,15,4,18.7,4.2,9
C0109,汽摩配件,大卖/品牌方,专业版,76,16720,2022-10-23,2025-06-28,周衡,healthy,已续约,73.8,关注,601,56,76,5,28.8,4.6,9
C0110,家居园艺,中型卖家,基础版,34,4080,2022-04-29,2025-05-28,林一,healthy,已续约,73.6,关注,191,25,34,3,10.2,,9
C0111,家居园艺,大卖/品牌方,基础版,155,18600,2022-12-02,2025-06-20,陈璐,healthy,已续约,73.5,关注,1040,119,155,20,8.5,,9
C0112,服饰鞋包,小微卖家,基础版,7,840,2024-04-05,2025-03-28,黄炬,healthy,已续约,77.9,关注,59,5,7,3,7.8,4.6,8
C0113,家居园艺,小微卖家,专业版,14,3080,2023-08-18,2025-04-20,黄炬,login_cliff,已续约,11.9,高风险,0,0,14,2,28.6,2.6,1
C0114,母婴玩具,中型卖家,专业版,53,11660,2022-05-18,2025-07-20,苏芮,healthy,已续约,75.1,关注,350,44,53,9,15.4,4.2,9
C0115,3C电子,小微卖家,专业版,10,2200,2023-08-15,2025-06-28,苏芮,ticket_storm,未续约,22.1,高风险,0,0,10,0,0.0,,0
C0116,户外运动,小微卖家,旗舰版,12,4320,2023-01-30,2025-04-15,苏芮,sudden_churn,未续约,23.7,高风险,0,0,12,0,0.0,,0
C0117,工业品,小微卖家,基础版,5,600,2022-12-24,2025-05-15,林一,ticket_storm,未续约,23.7,高风险,0,0,5,0,0.0,,0
C0118,3C电子,中型卖家,基础版,26,3120,2024-04-09,2025-06-28,周衡,healthy,已续约,82.5,健康,154,21,26,4,12.5,4.7,9
C0119,家居园艺,中型卖家,专业版,49,10780,2022-03-07,2025-05-15,黄炬,login_cliff,未续约,14.2,高风险,0,0,49,0,0.0,,0
C0120,服饰鞋包,小微卖家,专业版,19,4180,2024-02-01,2025-06-28,黄炬,healthy,已续约,83.0,健康,211,14,19,0,0.0,,9
C0121,汽摩配件,中型卖家,旗舰版,37,13320,2023-02-12,2025-06-15,苏芮,login_cliff,未续约,14.2,高风险,0,0,37,0,0.0,,0
C0122,服饰鞋包,大卖/品牌方,基础版,133,15960,2023-10-27,2025-05-28,黄炬,healthy,已续约,69.6,关注,893,97,133,20,15.6,4.9,9
C0123,户外运动,中型卖家,旗舰版,42,15120,2022-10-25,2025-05-28,苏芮,healthy,已续约,84.9,健康,358,33,42,6,5.5,5.0,9
C0124,服饰鞋包,小微卖家,基础版,8,960,2022-04-24,2025-07-28,陈璐,recovered,已续约,82.6,健康,62,7,8,0,0.0,,8
C0125,美妆个护,中型卖家,基础版,46,5520,2024-03-09,2025-04-20,林一,healthy,已续约,70.7,关注,530,35,46,5,15.1,4.3,8
C0126,户外运动,大卖/品牌方,基础版,151,18120,2023-08-25,2025-04-28,黄炬,gradual_decline,未续约,14.2,高风险,0,0,151,0,0.0,,0
C0127,3C电子,小微卖家,专业版,9,1980,2024-04-02,2025-08-15,陈璐,healthy,已续约,82.1,健康,48,7,9,2,15.5,3.9,9
C0128,家居园艺,中型卖家,旗舰版,43,15480,2023-07-04,2025-07-28,陈璐,login_cliff,未续约,12.9,高风险,0,1,43,0,0.0,,0
C0129,服饰鞋包,大卖/品牌方,基础版,122,14640,2023-02-01,2025-07-28,林一,ticket_storm,已续约,53.4,高风险,427,61,122,78,37.5,2.3,8
C0130,服饰鞋包,大卖/品牌方,专业版,96,21120,2023-02-04,2025-04-20,黄炬,sudden_churn,未续约,14.2,高风险,0,0,96,0,0.0,,0
C0131,服饰鞋包,中型卖家,专业版,54,11880,2023-02-03,2025-06-20,陈璐,healthy,已续约,73.3,关注,350,46,54,14,8.0,4.4,9
C0132,服饰鞋包,大卖/品牌方,旗舰版,91,32760,2024-01-29,2025-08-20,林一,healthy,已续约,71.8,关注,707,68,91,11,10.8,4.5,9
C0133,户外运动,中型卖家,专业版,49,10780,2023-07-18,2025-05-15,陈璐,healthy,已续约,72.7,关注,518,40,49,6,13.9,4.5,9
C0134,美妆个护,小微卖家,基础版,11,1320,2023-06-12,2025-05-28,陈璐,healthy,已续约,78.3,关注,125,8,11,4,11.8,3.8,8
C0135,母婴玩具,大卖/品牌方,基础版,81,9720,2022-11-26,2025-03-28,陈璐,login_cliff,已续约,14.6,高风险,9,2,81,22,19.6,2.6,2
C0136,户外运动,中型卖家,基础版,47,5640,2023-11-28,2025-06-28,林一,healthy,已续约,69.3,关注,375,35,47,5,7.1,4.6,9
C0137,工业品,小微卖家,基础版,10,1200,2022-01-24,2025-05-28,苏芮,login_cliff,未续约,23.7,高风险,0,0,10,0,0.0,,0
C0138,汽摩配件,大卖/品牌方,基础版,153,18360,2022-05-05,2025-06-15,陈璐,healthy,已续约,73.3,关注,1314,111,153,14,10.2,4.2,9
C0139,汽摩配件,中型卖家,基础版,30,3600,2023-10-02,2025-07-28,林一,healthy,已续约,77.3,关注,213,21,30,4,11.3,4.0,9
C0140,服饰鞋包,中型卖家,专业版,31,6820,2023-09-10,2025-07-15,林一,healthy,已续约,79.7,关注,234,22,31,2,9.2,4.8,9
C0141,工业品,中型卖家,基础版,59,7080,2023-09-08,2025-07-28,黄炬,healthy,未续约,26.8,高风险,0,1,59,0,0.0,,0
C0142,服饰鞋包,中型卖家,基础版,28,3360,2022-02-16,2025-05-15,苏芮,healthy,已续约,70.8,关注,252,22,28,3,4.5,4.6,9
C0143,户外运动,中型卖家,专业版,34,7480,2024-04-22,2025-05-28,陈璐,sudden_churn,已续约,12.1,高风险,0,1,34,6,34.1,2.1,1
C0144,户外运动,中型卖家,专业版,28,6160,2024-03-14,2025-04-28,周衡,healthy,已续约,80.7,健康,265,22,28,4,16.6,4.3,9
C0145,3C电子,小微卖家,专业版,18,3960,2022-09-10,2025-03-28,林一,recovered,已续约,74.5,关注,140,15,18,3,13.2,4.8,8
C0146,3C电子,小微卖家,专业版,6,1320,2022-02-01,2025-05-15,苏芮,healthy,已续约,85.6,健康,63,5,6,0,0.0,,9
C0147,3C电子,小微卖家,旗舰版,17,6120,2022-08-30,2025-07-28,周衡,gradual_decline,未续约,28.1,高风险,0,1,17,0,0.0,,0
C0148,母婴玩具,小微卖家,基础版,13,1560,2023-10-27,2025-06-28,陈璐,healthy,已续约,77.7,关注,119,9,13,3,5.2,4.3,9
C0149,家居园艺,中型卖家,专业版,50,11000,2022-10-06,2025-05-28,陈璐,healthy,已续约,73.3,关注,450,39,50,4,17.6,4.5,8
C0150,服饰鞋包,中型卖家,基础版,50,6000,2022-03-19,2025-08-20,林一,sudden_churn,未续约,12.8,高风险,1,1,50,8,21.4,,1
C0151,母婴玩具,小微卖家,旗舰版,7,2520,2024-02-08,2025-03-20,苏芮,healthy,已续约,76.3,关注,67,5,7,1,5.3,4.6,8
C0152,家居园艺,小微卖家,旗舰版,19,6840,2024-05-28,2025-08-20,周衡,healthy,已续约,85.5,健康,157,16,19,2,9.9,4.5,9
C0153,服饰鞋包,中型卖家,基础版,27,3240,2022-08-15,2025-07-28,周衡,login_cliff,已续约,29.8,高风险,16,2,27,2,11.2,2.6,4
C0154,家居园艺,中型卖家,专业版,38,8360,2022-01-24,2025-06-28,黄炬,login_cliff,已续约,12.0,高风险,0,0,38,21,10.2,,1
C0155,家居园艺,小微卖家,基础版,14,1680,2022-08-21,2025-07-28,黄炬,healthy,已续约,82.2,健康,78,10,14,3,22.0,4.4,9
C0156,家居园艺,小微卖家,基础版,6,720,2023-04-15,2025-03-28,周衡,sudden_churn,未续约,23.7,高风险,0,0,6,0,0.0,,0
C0157,美妆个护,小微卖家,基础版,13,1560,2022-01-09,2025-04-28,黄炬,healthy,已续约,82.0,健康,132,9,13,1,3.9,4.5,9
C0158,美妆个护,小微卖家,旗舰版,6,2160,2023-02-27,2025-07-28,黄炬,healthy,已续约,79.3,关注,40,4,6,0,0.0,,9
C0159,3C电子,小微卖家,专业版,19,4180,2023-02-22,2025-04-28,苏芮,healthy,已续约,80.0,健康,134,13,19,1,6.1,4.3,9
C0160,服饰鞋包,小微卖家,基础版,6,720,2023-01-16,2025-06-28,林一,healthy,已续约,79.3,关注,35,4,6,3,8.7,4.1,9
C0161,母婴玩具,小微卖家,基础版,7,840,2022-08-08,2025-03-28,陈璐,healthy,已续约,82.5,健康,64,6,7,2,21.8,4.2,9
C0162,服饰鞋包,中型卖家,基础版,52,6240,2024-03-10,2025-03-20,苏芮,healthy,已续约,71.9,关注,542,36,52,17,9.3,,9
C0163,3C电子,小微卖家,专业版,6,1320,2023-01-02,2025-03-28,黄炬,healthy,已续约,73.6,关注,43,4,6,0,0.0,,8
C0164,户外运动,中型卖家,专业版,25,5500,2024-06-16,2025-05-28,陈璐,healthy,已续约,79.8,关注,192,19,25,2,4.1,4.4,9
C0165,服饰鞋包,大卖/品牌方,专业版,100,22000,2024-04-04,2025-07-20,林一,healthy,已续约,70.8,关注,974,73,100,12,10.2,4.2,9
C0166,工业品,中型卖家,专业版,31,6820,2024-05-23,2025-08-28,黄炬,login_cliff,未续约,26.5,高风险,8,1,31,8,8.9,2.7,3
C0167,美妆个护,小微卖家,基础版,10,1200,2022-07-15,2025-04-20,林一,login_cliff,未续约,23.7,高风险,0,0,10,0,0.0,,0
C0168,母婴玩具,中型卖家,基础版,46,5520,2023-01-03,2025-05-28,黄炬,healthy,已续约,77.6,关注,359,31,46,3,4.5,4.6,9
C0169,汽摩配件,大卖/品牌方,基础版,123,14760,2023-11-27,2025-04-28,周衡,ticket_storm,未续约,14.2,高风险,0,0,123,0,0.0,,0
C0170,家居园艺,中型卖家,专业版,34,7480,2023-05-14,2025-05-28,黄炬,healthy,未续约,23.7,高风险,0,0,34,0,0.0,,0
C0171,服饰鞋包,小微卖家,基础版,10,1200,2023-03-27,2025-07-20,陈璐,login_cliff,未续约,24.5,高风险,0,1,10,0,0.0,,0
C0172,服饰鞋包,中型卖家,专业版,41,9020,2022-08-20,2025-06-20,黄炬,healthy,已续约,74.6,关注,474,32,41,8,10.2,4.4,9
C0173,美妆个护,中型卖家,基础版,57,6840,2023-08-14,2025-08-20,陈璐,login_cliff,未续约,12.8,高风险,5,1,57,17,13.6,,1
C0174,汽摩配件,中型卖家,基础版,44,5280,2022-02-04,2025-08-15,黄炬,gradual_decline,未续约,32.3,高风险,62,14,44,11,18.6,,2
C0175,3C电子,中型卖家,旗舰版,42,15120,2022-08-04,2025-05-28,周衡,gradual_decline,已续约,31.2,高风险,64,13,42,18,13.2,3.2,2
C0176,3C电子,中型卖家,基础版,55,6600,2024-03-01,2025-08-28,黄炬,healthy,已续约,69.8,关注,514,35,55,18,8.2,4.4,9
C0177,服饰鞋包,小微卖家,专业版,13,2860,2022-05-15,2025-05-28,周衡,healthy,已续约,79.5,关注,145,10,13,1,7.5,4.3,9
C0178,工业品,大卖/品牌方,旗舰版,145,52200,2022-06-18,2025-08-28,黄炬,healthy,已续约,71.8,关注,1272,111,145,19,8.3,,9
