rank,customer_id,industry,plan,account_manager,health,tier,rules,top_rule,severity,evidence,all_evidence,actions,renewal_status,contract_end,annual_amount
48,C0180,工业品,基础版,林一,29.2,高风险,R3,R3,低,连续3月席位利用率 28%~35%、使用模块 2~3 个,连续3月席位利用率 28%~35%、使用模块 2~3 个,下发30天激活任务（每周2个核心功能）；报名直播培训并布置课后实操任务,已续约,2025-03-28,6840
49,C0185,服饰鞋包,旗舰版,苏芮,29.2,高风险,R3,R3,低,连续3月席位利用率 25%~40%、使用模块 2~3 个,连续3月席位利用率 25%~40%、使用模块 2~3 个,下发30天激活任务（每周2个核心功能）；报名直播培训并布置课后实操任务,已续约,2025-03-28,20520
50,C0359,家居园艺,基础版,林一,29.8,高风险,R3,R3,低,连续3月席位利用率 26%~38%、使用模块 2~3 个,连续3月席位利用率 26%~38%、使用模块 2~3 个,下发30天激活任务（每周2个核心功能）；报名直播培训并布置课后实操任务,已续约,2025-07-28,5040
51,C0175,3C电子,旗舰版,周衡,31.2,高风险,R3,R3,低,连续3月席位利用率 31%~33%、使用模块 2~3 个,连续3月席位利用率 31%~33%、使用模块 2~3 个,下发30天激活任务（每周2个核心功能）；报名直播培训并布置课后实操任务,已续约,2025-05-28,15120
52,C0455,服饰鞋包,专业版,周衡,31.3,高风险,R3,R3,低,连续3月席位利用率 28%~41%、使用模块 2~3 个,连续3月席位利用率 28%~41%、使用模块 2~3 个,下发30天激活任务（每周2个核心功能）；报名直播培训并布置课后实操任务,待续约,2025-10-15,10120
53,C0499,3C电子,基础版,苏芮,31.4,高风险,R3,R3,低,连续3月席位利用率 29%~40%、使用模块 2~3 个,连续3月席位利用率 29%~40%、使用模块 2~3 个,下发30天激活任务（每周2个核心功能）；报名直播培训并布置课后实操任务,待续约,2025-12-15,10200
54,C0082,3C电子,基础版,陈璐,32.5,高风险,R3,R3,低,连续3月席位利用率 29%~37%、使用模块 2~3 个,连续3月席位利用率 29%~37%、使用模块 2~3 个,下发30天激活任务（每周2个核心功能）；报名直播培训并布置课后实操任务,已续约,2025-03-20,6120
55,C0381,美妆个护,专业版,苏芮,32.8,高风险,R3,R3,低,连续3月席位利用率 30%~37%、使用模块 2~3 个,连续3月席位利用率 30%~37%、使用模块 2~3 个,下发30天激活任务（每周2个核心功能）；报名直播培训并布置课后实操任务,待续约,2025-12-15,9460
56,C0498,工业品,基础版,苏芮,32.9,高风险,R3,R3,低,连续3月席位利用率 33%~37%、使用模块 2~3 个,连续3月席位利用率 33%~37%、使用模块 2~3 个,下发30天激活任务（每周2个核心功能）；报名直播培训并布置课后实操任务,待续约,2025-10-28,3600
57,C0461,3C电子,专业版,黄炬,33.0,高风险,R3,R3,低,连续3月席位利用率 31%~40%、使用模块 2~3 个,连续3月席位利用率 31%~40%、使用模块 2~3 个,下发30天激活任务（每周2个核心功能）；报名直播培训并布置课后实操任务,待续约,2025-11-28,15840
58,C0352,工业品,专业版,苏芮,37.6,高风险,R3,R3,低,连续3月席位利用率 21%~39%、使用模块 2~3 个,连续3月席位利用率 21%~39%、使用模块 2~3 个,下发30天激活任务（每周2个核心功能）；报名直播培训并布置课后实操任务,已续约,2025-06-28,6160
59,C0439,工业品,专业版,林一,37.6,高风险,R3,R3,低,连续3月席位利用率 24%~35%、使用模块 2~3 个,连续3月席位利用率 24%~35%、使用模块 2~3 个,下发30天激活任务（每周2个核心功能）；报名直播培训并布置课后实操任务,待续约,2025-12-28,3740
60,C0421,美妆个护,基础版,周衡,38.9,高风险,R3,R3,低,连续3月席位利用率 25%~42%、使用模块 2~3 个,连续3月席位利用率 25%~42%、使用模块 2~3 个,下发30天激活任务（每周2个核心功能）；报名直播培训并布置课后实操任务,待续约,2025-10-28,1440
61,C0466,母婴玩具,专业版,黄炬,40.9,高风险,R3,R3,低,连续3月席位利用率 31%~38%、使用模块 2~3 个,连续3月席位利用率 31%~38%、使用模块 2~3 个,下发30天激活任务（每周2个核心功能）；报名直播培训并布置课后实操任务,待续约,2025-11-28,3520
62,C0471,服饰鞋包,专业版,黄炬,41.1,高风险,R3,R3,低,连续3月席位利用率 33%~33%、使用模块 2~3 个,连续3月席位利用率 33%~33%、使用模块 2~3 个,下发30天激活任务（每周2个核心功能）；报名直播培训并布置课后实操任务,待续约,2025-12-15,1980
63,C0403,家居园艺,专业版,苏芮,43.0,高风险,R3,R3,低,连续3月席位利用率 30%~40%、使用模块 2~3 个,连续3月席位利用率 30%~40%、使用模块 2~3 个,下发30天激活任务（每周2个核心功能）；报名直播培训并布置课后实操任务,待续约,2025-11-28,4400
