customer_id,industry,company_size,plan,seats,annual_amount,signup_date,contract_end,account_manager,archetype,renewal_status
C0049,工业品,小微卖家,专业版,11,2420,2023-08-08,2025-03-28,周衡,login_cliff,未续约
C0050,母婴玩具,大卖/品牌方,专业版,83,18260,2022-02-03,2025-03-28,黄炬,healthy,已续约
C0051,3C电子,中型卖家,专业版,21,4620,2023-08-15,2025-07-28,黄炬,recovered,已续约
C0052,户外运动,中型卖家,基础版,56,6720,2022-07-31,2025-03-15,陈璐,gradual_decline,未续约
C0053,3C电子,中型卖家,专业版,54,11880,2023-04-23,2025-03-15,周衡,healthy,已续约
C0054,汽摩配件,中型卖家,基础版,36,4320,2024-02-07,2025-06-28,苏芮,healthy,已续约
C0055,服饰鞋包,中型卖家,基础版,54,6480,2022-04-14,2025-04-28,黄炬,recovered,已续约
C0056,3C电子,小微卖家,基础版,11,1320,2023-10-08,2025-05-20,周衡,healthy,已续约
C0057,服饰鞋包,小微卖家,基础版,19,2280,2022-04-18,2025-06-28,黄炬,healthy,未续约
C0058,户外运动,中型卖家,基础版,39,4680,2024-04-03,2025-04-28,陈璐,healthy,已续约
C0059,服饰鞋包,小微卖家,基础版,7,840,2023-05-15,2025-03-28,周衡,healthy,已续约
C0060,美妆个护,小微卖家,基础版,18,2160,2024-05-13,2025-08-15,周衡,healthy,已续约
C0061,服饰鞋包,大卖/品牌方,基础版,114,13680,2023-05-20,2025-04-20,黄炬,healthy,已续约
C0062,家居园艺,中型卖家,专业版,44,9680,2023-08-12,2025-03-28,黄炬,healthy,已续约
C0063,服饰鞋包,小微卖家,旗舰版,8,2880,2022-01-02,2025-04-28,周衡,healthy,已续约
C0064,户外运动,中型卖家,基础版,54,6480,2023-03-05,2025-08-20,周衡,healthy,已续约
C0065,母婴玩具,大卖/品牌方,专业版,127,27940,2023-02-28,2025-04-28,周衡,healthy,已续约
C0066,3C电子,中型卖家,旗舰版,51,18360,2023-04-07,2025-08-28,林一,healthy,已续约
C0067,工业品,小微卖家,基础版,5,600,2022-02-16,2025-04-28,林一,healthy,已续约
C0068,家居园艺,中型卖家,基础版,21,2520,2022-02-15,2025-08-28,苏芮,healthy,已续约
C0069,3C电子,中型卖家,基础版,35,4200,2024-05-29,2025-04-28,陈璐,sudden_churn,未续约
C0070,服饰鞋包,小微卖家,基础版,11,1320,2024-02-16,2025-03-28,林一,gradual_decline,未续约
C0071,家居园艺,小微卖家,基础版,12,1440,2023-05-12,2025-07-28,黄炬,healthy,已续约
C0072,服饰鞋包,小微卖家,基础版,18,2160,2023-03-08,2025-08-15,陈璐,healthy,已续约
C0073,服饰鞋包,大卖/品牌方,基础版,82,9840,2023-03-22,2025-05-20,苏芮,healthy,已续约
C0074,3C电子,小微卖家,基础版,5,600,2024-04-06,2025-03-28,黄炬,ticket_storm,已续约
C0075,3C电子,小微卖家,专业版,7,1540,2023-03-04,2025-04-28,周衡,healthy,已续约
C0076,美妆个护,中型卖家,基础版,31,3720,2024-02-08,2025-06-15,周衡,healthy,未续约
C0077,户外运动,大卖/品牌方,基础版,76,9120,2022-08-12,2025-08-28,周衡,gradual_decline,未续约
C0078,美妆个护,大卖/品牌方,基础版,133,15960,2024-01-02,2025-03-28,周衡,healthy,未续约
C0079,美妆个护,小微卖家,基础版,16,1920,2023-07-27,2025-04-20,林一,ticket_storm,已续约
C0080,3C电子,小微卖家,基础版,15,1800,2022-05-29,2025-06-15,黄炬,healthy,已续约
C0081,户外运动,小微卖家,旗舰版,15,5400,2022-05-14,2025-06-28,林一,healthy,已续约
C0082,3C电子,中型卖家,基础版,51,6120,2023-04-02,2025-03-20,陈璐,gradual_decline,已续约
C0083,3C电子,大卖/品牌方,专业版,60,13200,2022-12-16,2025-03-28,黄炬,healthy,已续约
C0084,汽摩配件,中型卖家,专业版,27,5940,2022-09-03,2025-07-28,周衡,healthy,已续约
C0085,服饰鞋包,中型卖家,专业版,43,9460,2022-06-20,2025-03-28,周衡,sudden_churn,未续约
C0086,服饰鞋包,大卖/品牌方,基础版,121,14520,2023-07-04,2025-04-28,周衡,healthy,已续约
C0087,美妆个护,中型卖家,专业版,35,7700,2022-08-29,2025-07-15,黄炬,healthy,已续约
C0088,服饰鞋包,中型卖家,基础版,21,2520,2023-12-18,2025-05-28,周衡,healthy,已续约
C0089,3C电子,大卖/品牌方,基础版,100,12000,2022-05-25,2025-07-28,林一,healthy,已续约
C0090,工业品,小微卖家,基础版,18,2160,2024-02-13,2025-08-20,陈璐,healthy,已续约
C0091,家居园艺,中型卖家,旗舰版,28,10080,2023-08-05,2025-05-28,周衡,login_cliff,已续约
C0092,户外运动,中型卖家,专业版,57,12540,2023-05-28,2025-05-28,苏芮,login_cliff,未续约
C0093,母婴玩具,中型卖家,基础版,56,6720,2022-01-03,2025-04-28,苏芮,healthy,已续约
C0094,3C电子,大卖/品牌方,基础版,140,16800,2023-10-10,2025-08-20,苏芮,healthy,已续约
C0095,服饰鞋包,中型卖家,专业版,35,7700,2022-12-13,2025-05-28,苏芮,healthy,已续约
C0096,汽摩配件,中型卖家,基础版,33,3960,2022-12-06,2025-05-28,苏芮,healthy,已续约
C0097,3C电子,中型卖家,基础版,25,3000,2022-01-22,2025-08-15,陈璐,healthy,已续约
C0098,3C电子,中型卖家,旗舰版,33,11880,2022-09-08,2025-05-28,黄炬,healthy,已续约
C0099,家居园艺,中型卖家,基础版,27,3240,2022-04-26,2025-03-28,周衡,healthy,已续约
C0100,工业品,中型卖家,专业版,55,12100,2022-04-10,2025-04-28,林一,healthy,已续约
C0101,户外运动,大卖/品牌方,旗舰版,89,32040,2022-04-05,2025-08-15,黄炬,sudden_churn,未续约
C0102,工业品,小微卖家,基础版,19,2280,2022-10-02,2025-04-28,周衡,healthy,已续约
C0103,母婴玩具,中型卖家,专业版,23,5060,2023-04-14,2025-03-28,陈璐,healthy,已续约
C0104,3C电子,大卖/品牌方,专业版,112,24640,2023-10-24,2025-07-28,黄炬,login_cliff,未续约
C0105,服饰鞋包,中型卖家,专业版,34,7480,2022-02-08,2025-04-15,黄炬,healthy,已续约
C0106,3C电子,大卖/品牌方,基础版,98,11760,2022-08-27,2025-04-20,苏芮,healthy,已续约
C0107,服饰鞋包,小微卖家,基础版,7,840,2024-03-02,2025-07-28,黄炬,recovered,已续约
C0108,母婴玩具,小微卖家,专业版,15,3300,2022-08-12,2025-04-28,陈璐,healthy,已续约
C0109,汽摩配件,大卖/品牌方,专业版,76,16720,2022-10-23,2025-06-28,周衡,healthy,已续约
C0110,家居园艺,中型卖家,基础版,34,4080,2022-04-29,2025-05-28,林一,healthy,已续约
C0111,家居园艺,大卖/品牌方,基础版,155,18600,2022-12-02,2025-06-20,陈璐,healthy,已续约
C0112,服饰鞋包,小微卖家,基础版,7,840,2024-04-05,2025-03-28,黄炬,healthy,已续约
C0113,家居园艺,小微卖家,专业版,14,3080,2023-08-18,2025-04-20,黄炬,login_cliff,已续约
C0114,母婴玩具,中型卖家,专业版,53,11660,2022-05-18,2025-07-20,苏芮,healthy,已续约
C0115,3C电子,小微卖家,专业版,10,2200,2023-08-15,2025-06-28,苏芮,ticket_storm,未续约
C0116,户外运动,小微卖家,旗舰版,12,4320,2023-01-30,2025-04-15,苏芮,sudden_churn,未续约
C0117,工业品,小微卖家,基础版,5,600,2022-12-24,2025-05-15,林一,ticket_storm,未续约
C0118,3C电子,中型卖家,基础版,26,3120,2024-04-09,2025-06-28,周衡,healthy,已续约
C0119,家居园艺,中型卖家,专业版,49,10780,2022-03-07,2025-05-15,黄炬,login_cliff,未续约
C0120,服饰鞋包,小微卖家,专业版,19,4180,2024-02-01,2025-06-28,黄炬,healthy,已续约
C0121,汽摩配件,中型卖家,旗舰版,37,13320,2023-02-12,2025-06-15,苏芮,login_cliff,未续约
C0122,服饰鞋包,大卖/品牌方,基础版,133,15960,2023-10-27,2025-05-28,黄炬,healthy,已续约
C0123,户外运动,中型卖家,旗舰版,42,15120,2022-10-25,2025-05-28,苏芮,healthy,已续约
C0124,服饰鞋包,小微卖家,基础版,8,960,2022-04-24,2025-07-28,陈璐,recovered,已续约
C0125,美妆个护,中型卖家,基础版,46,5520,2024-03-09,2025-04-20,林一,healthy,已续约
C0126,户外运动,大卖/品牌方,基础版,151,18120,2023-08-25,2025-04-28,黄炬,gradual_decline,未续约
C0127,3C电子,小微卖家,专业版,9,1980,2024-04-02,2025-08-15,陈璐,healthy,已续约
C0128,家居园艺,中型卖家,旗舰版,43,15480,2023-07-04,2025-07-28,陈璐,login_cliff,未续约
C0129,服饰鞋包,大卖/品牌方,基础版,122,14640,2023-02-01,2025-07-28,林一,ticket_storm,已续约
C0130,服饰鞋包,大卖/品牌方,专业版,96,21120,2023-02-04,2025-04-20,黄炬,sudden_churn,未续约
C0131,服饰鞋包,中型卖家,专业版,54,11880,2023-02-03,2025-06-20,陈璐,healthy,已续约
C0132,服饰鞋包,大卖/品牌方,旗舰版,91,32760,2024-01-29,2025-08-20,林一,healthy,已续约
C0133,户外运动,中型卖家,专业版,49,10780,2023-07-18,2025-05-15,陈璐,healthy,已续约
C0134,美妆个护,小微卖家,基础版,11,1320,2023-06-12,2025-05-28,陈璐,healthy,已续约
C0135,母婴玩具,大卖/品牌方,基础版,81,9720,2022-11-26,2025-03-28,陈璐,login_cliff,已续约
C0136,户外运动,中型卖家,基础版,47,5640,2023-11-28,2025-06-28,林一,healthy,已续约
C0137,工业品,小微卖家,基础版,10,1200,2022-01-24,2025-05-28,苏芮,login_cliff,未续约
C0138,汽摩配件,大卖/品牌方,基础版,153,18360,2022-05-05,2025-06-15,陈璐,healthy,已续约
C0139,汽摩配件,中型卖家,基础版,30,3600,2023-10-02,2025-07-28,林一,healthy,已续约
C0140,服饰鞋包,中型卖家,专业版,31,6820,2023-09-10,2025-07-15,林一,healthy,已续约
C0141,工业品,中型卖家,基础版,59,7080,2023-09-08,2025-07-28,黄炬,healthy,未续约
C0142,服饰鞋包,中型卖家,基础版,28,3360,2022-02-16,2025-05-15,苏芮,healthy,已续约
C0143,户外运动,中型卖家,专业版,34,7480,2024-04-22,2025-05-28,陈璐,sudden_churn,已续约
C0144,户外运动,中型卖家,专业版,28,6160,2024-03-14,2025-04-28,周衡,healthy,已续约
C0145,3C电子,小微卖家,专业版,18,3960,2022-09-10,2025-03-28,林一,recovered,已续约
C0146,3C电子,小微卖家,专业版,6,1320,2022-02-01,2025-05-15,苏芮,healthy,已续约
C0147,3C电子,小微卖家,旗舰版,17,6120,2022-08-30,2025-07-28,周衡,gradual_decline,未续约
C0148,母婴玩具,小微卖家,基础版,13,1560,2023-10-27,2025-06-28,陈璐,healthy,已续约
C0149,家居园艺,中型卖家,专业版,50,11000,2022-10-06,2025-05-28,陈璐,healthy,已续约
C0150,服饰鞋包,中型卖家,基础版,50,6000,2022-03-19,2025-08-20,林一,sudden_churn,未续约
C0151,母婴玩具,小微卖家,旗舰版,7,2520,2024-02-08,2025-03-20,苏芮,healthy,已续约
C0152,家居园艺,小微卖家,旗舰版,19,6840,2024-05-28,2025-08-20,周衡,healthy,已续约
C0153,服饰鞋包,中型卖家,基础版,27,3240,2022-08-15,2025-07-28,周衡,login_cliff,已续约
C0154,家居园艺,中型卖家,专业版,38,8360,2022-01-24,2025-06-28,黄炬,login_cliff,已续约
C0155,家居园艺,小微卖家,基础版,14,1680,2022-08-21,2025-07-28,黄炬,healthy,已续约
C0156,家居园艺,小微卖家,基础版,6,720,2023-04-15,2025-03-28,周衡,sudden_churn,未续约
C0157,美妆个护,小微卖家,基础版,13,1560,2022-01-09,2025-04-28,黄炬,healthy,已续约
C0158,美妆个护,小微卖家,旗舰版,6,2160,2023-02-27,2025-07-28,黄炬,healthy,已续约
C0159,3C电子,小微卖家,专业版,19,4180,2023-02-22,2025-04-28,苏芮,healthy,已续约
C0160,服饰鞋包,小微卖家,基础版,6,720,2023-01-16,2025-06-28,林一,healthy,已续约
C0161,母婴玩具,小微卖家,基础版,7,840,2022-08-08,2025-03-28,陈璐,healthy,已续约
C0162,服饰鞋包,中型卖家,基础版,52,6240,2024-03-10,2025-03-20,苏芮,healthy,已续约
C0163,3C电子,小微卖家,专业版,6,1320,2023-01-02,2025-03-28,黄炬,healthy,已续约
C0164,户外运动,中型卖家,专业版,25,5500,2024-06-16,2025-05-28,陈璐,healthy,已续约
C0165,服饰鞋包,大卖/品牌方,专业版,100,22000,2024-04-04,2025-07-20,林一,healthy,已续约
C0166,工业品,中型卖家,专业版,31,6820,2024-05-23,2025-08-28,黄炬,login_cliff,未续约
C0167,美妆个护,小微卖家,基础版,10,1200,2022-07-15,2025-04-20,林一,login_cliff,未续约
C0168,母婴玩具,中型卖家,基础版,46,5520,2023-01-03,2025-05-28,黄炬,healthy,已续约
C0169,汽摩配件,大卖/品牌方,基础版,123,14760,2023-11-27,2025-04-28,周衡,ticket_storm,未续约
C0170,家居园艺,中型卖家,专业版,34,7480,2023-05-14,2025-05-28,黄炬,healthy,未续约
C0171,服饰鞋包,小微卖家,基础版,10,1200,2023-03-27,2025-07-20,陈璐,login_cliff,未续约
C0172,服饰鞋包,中型卖家,专业版,41,9020,2022-08-20,2025-06-20,黄炬,healthy,已续约
C0173,美妆个护,中型卖家,基础版,57,6840,2023-08-14,2025-08-20,陈璐,login_cliff,未续约
C0174,汽摩配件,中型卖家,基础版,44,5280,2022-02-04,2025-08-15,黄炬,gradual_decline,未续约
C0175,3C电子,中型卖家,旗舰版,42,15120,2022-08-04,2025-05-28,周衡,gradual_decline,已续约
C0176,3C电子,中型卖家,基础版,55,6600,2024-03-01,2025-08-28,黄炬,healthy,已续约
C0177,服饰鞋包,小微卖家,专业版,13,2860,2022-05-15,2025-05-28,周衡,healthy,已续约
C0178,工业品,大卖/品牌方,旗舰版,145,52200,2022-06-18,2025-08-28,黄炬,healthy,已续约
C0179,服饰鞋包,小微卖家,专业版,18,3960,2023-03-31,2025-05-28,周衡,healthy,已续约
C0180,工业品,中型卖家,基础版,57,6840,2022-11-29,2025-03-28,林一,gradual_decline,已续约
C0181,户外运动,中型卖家,基础版,24,2880,2023-09-28,2025-04-15,黄炬,healthy,已续约
C0182,3C电子,中型卖家,专业版,37,8140,2023-09-14,2025-06-28,苏芮,healthy,已续约
C0183,服饰鞋包,中型卖家,基础版,46,5520,2023-06-08,2025-05-20,周衡,login_cliff,未续约
C0184,服饰鞋包,小微卖家,基础版,12,1440,2022-11-06,2025-04-28,周衡,ticket_storm,已续约
C0185,服饰鞋包,中型卖家,旗舰版,57,20520,2022-08-09,2025-03-28,苏芮,gradual_decline,已续约
C0186,母婴玩具,中型卖家,基础版,25,3000,2023-01-23,2025-05-28,陈璐,healthy,已续约
C0187,工业品,大卖/品牌方,基础版,113,13560,2022-07-03,2025-07-28,陈璐,login_cliff,未续约
C0188,汽摩配件,小微卖家,旗舰版,16,5760,2024-01-24,2025-08-28,陈璐,healthy,已续约
C0189,母婴玩具,小微卖家,专业版,5,1100,2022-03-04,2025-08-20,周衡,healthy,未续约
C0190,服饰鞋包,小微卖家,基础版,7,840,2024-05-21,2025-04-28,苏芮,healthy,已续约
C0191,服饰鞋包,大卖/品牌方,基础版,78,9360,2023-08-30,2025-08-28,苏芮,ticket_storm,已续约
C0192,母婴玩具,大卖/品牌方,专业版,96,21120,2024-04-29,2025-06-28,黄炬,healthy,已续约
C0193,家居园艺,中型卖家,旗舰版,51,18360,2022-07-13,2025-08-28,苏芮,healthy,已续约
C0194,家居园艺,中型卖家,基础版,31,3720,2022-11-22,2025-04-28,林一,healthy,已续约
C0195,3C电子,中型卖家,基础版,23,2760,2022-06-24,2025-08-20,苏芮,healthy,已续约
C0196,3C电子,小微卖家,基础版,9,1080,2024-05-28,2025-07-28,陈璐,healthy,已续约
C0197,汽摩配件,大卖/品牌方,基础版,111,13320,2023-05-22,2025-03-28,林一,healthy,已续约
C0198,3C电子,小微卖家,专业版,10,2200,2024-04-01,2025-04-28,苏芮,healthy,已续约
C0199,服饰鞋包,中型卖家,专业版,45,9900,2023-08-10,2025-08-15,黄炬,ticket_storm,已续约
C0200,服饰鞋包,小微卖家,基础版,11,1320,2023-01-30,2025-06-20,黄炬,healthy,已续约
C0201,户外运动,中型卖家,基础版,35,4200,2023-07-09,2025-04-28,苏芮,healthy,已续约
C0202,美妆个护,小微卖家,基础版,16,1920,2023-10-12,2025-08-28,苏芮,healthy,已续约
C0203,3C电子,小微卖家,专业版,19,4180,2023-04-23,2025-06-28,周衡,healthy,已续约
C0204,服饰鞋包,大卖/品牌方,专业版,111,24420,2023-03-07,2025-08-28,黄炬,recovered,已续约
C0205,美妆个护,小微卖家,专业版,6,1320,2023-07-05,2025-03-28,黄炬,ticket_storm,未续约
C0206,家居园艺,大卖/品牌方,专业版,131,28820,2022-02-24,2025-07-20,苏芮,ticket_storm,未续约
C0207,户外运动,小微卖家,专业版,14,3080,2022-06-23,2025-08-15,苏芮,healthy,已续约
C0208,服饰鞋包,中型卖家,专业版,57,12540,2024-05-14,2025-07-28,周衡,healthy,已续约
C0209,母婴玩具,中型卖家,专业版,37,8140,2023-03-17,2025-05-28,陈璐,healthy,未续约
C0210,户外运动,小微卖家,基础版,10,1200,2023-07-19,2025-03-15,陈璐,healthy,已续约
C0211,服饰鞋包,小微卖家,旗舰版,18,6480,2023-12-24,2025-03-28,林一,healthy,已续约
C0212,服饰鞋包,中型卖家,旗舰版,49,17640,2023-11-16,2025-04-15,黄炬,healthy,已续约
C0213,服饰鞋包,中型卖家,基础版,27,3240,2022-12-17,2025-04-28,陈璐,healthy,已续约
C0214,3C电子,中型卖家,专业版,25,5500,2022-03-04,2025-05-28,陈璐,healthy,已续约
C0215,户外运动,中型卖家,基础版,51,6120,2023-01-31,2025-07-28,陈璐,healthy,已续约
C0216,服饰鞋包,小微卖家,专业版,10,2200,2022-12-19,2025-07-28,黄炬,healthy,已续约
C0217,服饰鞋包,小微卖家,基础版,16,1920,2022-01-13,2025-05-15,陈璐,healthy,已续约
C0218,服饰鞋包,小微卖家,专业版,5,1100,2024-04-17,2025-05-28,苏芮,healthy,已续约
C0219,母婴玩具,大卖/品牌方,专业版,124,27280,2023-02-01,2025-08-20,黄炬,healthy,已续约
C0220,户外运动,中型卖家,基础版,48,5760,2022-01-15,2025-06-28,周衡,healthy,已续约
C0221,服饰鞋包,中型卖家,专业版,39,8580,2023-08-02,2025-08-20,林一,healthy,已续约
C0222,服饰鞋包,中型卖家,专业版,50,11000,2024-06-14,2025-07-20,林一,healthy,已续约
C0223,服饰鞋包,小微卖家,基础版,18,2160,2024-01-10,2025-06-15,黄炬,login_cliff,未续约
C0224,服饰鞋包,中型卖家,基础版,28,3360,2022-06-02,2025-04-28,苏芮,healthy,已续约
C0225,汽摩配件,小微卖家,专业版,5,1100,2022-01-03,2025-07-15,林一,ticket_storm,已续约
C0226,3C电子,中型卖家,基础版,56,6720,2024-04-01,2025-07-28,陈璐,recovered,已续约
C0227,母婴玩具,小微卖家,基础版,15,1800,2022-11-04,2025-08-28,陈璐,ticket_storm,未续约
C0228,服饰鞋包,小微卖家,基础版,16,1920,2023-11-30,2025-06-15,周衡,gradual_decline,未续约
C0229,母婴玩具,小微卖家,基础版,10,1200,2023-05-30,2025-06-28,黄炬,login_cliff,未续约
C0230,3C电子,小微卖家,专业版,15,3300,2023-12-30,2025-07-28,林一,healthy,已续约
C0231,户外运动,小微卖家,基础版,10,1200,2022-06-05,2025-04-28,周衡,healthy,已续约
C0232,家居园艺,大卖/品牌方,专业版,133,29260,2023-09-14,2025-03-20,林一,ticket_storm,未续约
C0233,服饰鞋包,大卖/品牌方,基础版,101,12120,2024-06-12,2025-07-28,苏芮,healthy,已续约
C0234,3C电子,中型卖家,基础版,26,3120,2022-06-16,2025-05-28,陈璐,healthy,已续约
C0235,户外运动,大卖/品牌方,专业版,88,19360,2023-07-27,2025-04-15,陈璐,healthy,已续约
C0236,服饰鞋包,小微卖家,旗舰版,12,4320,2022-12-28,2025-08-28,周衡,healthy,已续约
C0237,服饰鞋包,小微卖家,基础版,17,2040,2023-12-09,2025-06-28,苏芮,healthy,已续约
C0238,服饰鞋包,大卖/品牌方,旗舰版,84,30240,2024-02-03,2025-03-28,周衡,login_cliff,未续约
C0239,母婴玩具,小微卖家,专业版,5,1100,2023-04-29,2025-07-15,林一,healthy,已续约
C0240,户外运动,大卖/品牌方,专业版,157,34540,2023-02-02,2025-03-20,林一,ticket_storm,未续约
C0241,户外运动,中型卖家,专业版,41,9020,2023-07-13,2025-04-28,林一,healthy,已续约
C0242,服饰鞋包,中型卖家,专业版,40,8800,2023-06-09,2025-08-28,黄炬,healthy,已续约
C0243,汽摩配件,小微卖家,专业版,16,3520,2022-09-18,2025-07-28,周衡,healthy,已续约
C0244,3C电子,中型卖家,旗舰版,20,7200,2023-10-12,2025-07-20,林一,healthy,已续约
C0245,服饰鞋包,中型卖家,专业版,59,12980,2022-03-05,2025-08-28,林一,login_cliff,已续约
C0246,服饰鞋包,大卖/品牌方,基础版,111,13320,2023-12-11,2025-06-28,苏芮,healthy,已续约
C0247,汽摩配件,小微卖家,专业版,19,4180,2022-07-06,2025-05-28,苏芮,healthy,已续约
C0248,美妆个护,中型卖家,基础版,38,4560,2022-07-18,2025-08-15,陈璐,healthy,已续约
C0249,家居园艺,小微卖家,基础版,13,1560,2024-01-07,2025-08-15,林一,healthy,已续约
C0250,服饰鞋包,大卖/品牌方,基础版,95,11400,2023-11-06,2025-06-28,周衡,healthy,已续约
C0251,户外运动,大卖/品牌方,基础版,146,17520,2023-05-08,2025-06-28,苏芮,login_cliff,未续约
C0252,服饰鞋包,小微卖家,基础版,10,1200,2024-05-12,2025-05-15,林一,recovered,已续约
C0253,户外运动,中型卖家,专业版,45,9900,2022-04-21,2025-05-28,苏芮,healthy,已续约
C0254,服饰鞋包,大卖/品牌方,专业版,65,14300,2022-11-11,2025-08-28,林一,healthy,已续约
C0255,工业品,大卖/品牌方,旗舰版,74,26640,2024-01-14,2025-04-20,林一,healthy,已续约
C0256,服饰鞋包,小微卖家,基础版,10,1200,2022-03-06,2025-03-20,林一,healthy,已续约
C0257,3C电子,中型卖家,专业版,22,4840,2022-03-18,2025-07-28,苏芮,healthy,已续约
C0258,汽摩配件,中型卖家,专业版,57,12540,2023-10-04,2025-05-28,苏芮,ticket_storm,已续约
C0259,家居园艺,小微卖家,专业版,10,2200,2023-12-05,2025-04-28,林一,healthy,已续约
C0260,服饰鞋包,中型卖家,基础版,58,6960,2023-09-10,2025-06-20,黄炬,healthy,已续约
C0261,户外运动,小微卖家,基础版,6,720,2023-02-12,2025-07-15,黄炬,ticket_storm,已续约
